Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Alerta por Tormenta de viento en Posadas,"Severa tormenta de viento impactó en la localidad de Posadas, Misiones. El incidente provocando la activación de protocolos de emergencia. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Tormenta de viento,-27.371917,-55.92596,04/03/2011
Helada severa provoca emergencia en Justo Daract,La región de Justo Daract en San Luis sufrió los efectos de una intensa helada severa. El incidente bloqueando las principales vías de acceso. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Helada severa,-33.813119,-65.136929,07/08/2001
Declaran emergencia tras Frente tormentoso en Gualeguay,"Severa frente tormentoso impactó en la localidad de Gualeguay, Entre Ríos. El incidente dejando un rastro de destrucción importante. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Frente tormentoso,-33.161403,-59.338724,01/10/2016
Se reporta Congelamiento en zona de Villa Regina,La región de Villa Regina en Río Negro sufrió los efectos de una intensa congelamiento. El incidente provocando la activación de protocolos de emergencia. La población ha sido alertada para tomar precauciones adicionales.,Congelamiento,-39.12133,-67.070874,02/12/2012
Alerta por Quema de pastizales en Villa La Angostura,"Una quema de pastizales de gran magnitud afectó a Villa La Angostura, Neuquén. El incidente dejando a la población incomunicada por varias horas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Quema de pastizales,-40.752194,-71.648334,15/07/2009
"Evacuaciones por Ventisca con nieve en Concordia, Entre Ríos",La región de Concordia en Entre Ríos sufrió los efectos de una intensa ventisca con nieve. El incidente dejando varios heridos y daños materiales. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Ventisca con nieve,-31.364262,-58.051035,30/08/2020
Ventisca con nieve provoca emergencia en Aguilares,La región de Aguilares en Tucumán sufrió los efectos de una intensa ventisca con nieve. El incidente provocando pánico entre los residentes locales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Ventisca con nieve,-27.480114,-65.623913,06/07/2006
Impacto de Quema de pastizales en comunidad de Victorica,"Severa quema de pastizales impactó en la localidad de Victorica, La Pampa. El incidente causando daños en cultivos y producción agrícola. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Quema de pastizales,-36.261175,-65.453999,29/10/2022
Emergencia por Lluvia de ceniza volcánica en Santo Tomé,La región de Santo Tomé en Corrientes sufrió los efectos de una intensa lluvia de ceniza volcánica. El incidente provocando la activación de protocolos de emergencia. Técnicos trabajan para restablecer los servicios básicos lo antes posible.,Lluvia de ceniza volcánica,-28.588781,-56.042145,27/03/2021
Declaran emergencia tras Ráfagas de más de 100 km/h en Belgrano,La región de Belgrano en CABA sufrió los efectos de una intensa ráfagas de más de 100 km/h. El incidente obligando a evacuar a residentes de la zona. Se han habilitado refugios temporales para las familias afectadas.,Ráfagas de más de 100 km/h,-34.531302,-58.453935,24/12/2013
Deslizamiento de tierra afecta a Necochea,"Severa deslizamiento de tierra impactó en la localidad de Necochea, Buenos Aires. El incidente bloqueando las principales vías de acceso. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Deslizamiento de tierra,-38.527261,-58.756779,16/12/2023
"Evacuaciones por Emergencia por sequía en San Miguel de Tucumán, Tucumán","Severa emergencia por sequía impactó en la localidad de San Miguel de Tucumán, Tucumán. El incidente causando pérdidas millonarias y afectando a cientos de personas. El municipio ha activado el protocolo de emergencias para esta situación.",Emergencia por sequía,-26.771749,-65.177982,01/12/2006
Consecuencias graves tras Frío extremo en Quilmes,"Severa frío extremo impactó en la localidad de Quilmes, Buenos Aires. El incidente provocando la activación de protocolos de emergencia. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Frío extremo,-34.71575,-58.286481,10/12/2018
Preocupación por Movimiento telúrico en Río Grande,"Severa movimiento telúrico impactó en la localidad de Río Grande, Tierra del Fuego. El incidente generando preocupación entre autoridades provinciales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Movimiento telúrico,-53.836498,-67.684756,25/06/2000
Caída de ceniza genera crisis en Barranqueras,"Una caída de ceniza de gran magnitud afectó a Barranqueras, Chaco. El incidente dejando un rastro de destrucción importante. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Caída de ceniza,-27.495623,-58.929442,17/07/2022
Frías en alerta por Tornado,"Una tornado de gran magnitud afectó a Frías, Santiago del Estero. El incidente generando preocupación entre autoridades provinciales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Tornado,-28.683459,-65.109184,23/08/2000
"Declaran emergencia tras Temperaturas bajo cero en Ushuaia, Tierra del Fuego",La región de Ushuaia en Tierra del Fuego sufrió los efectos de una intensa temperaturas bajo cero. El incidente dejando a varios sectores sin comunicación. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Temperaturas bajo cero,-54.784964,-68.338015,10/02/2019
"Impacto de Corrimiento de tierra en comunidad de Chepes, La Rioja","Severa corrimiento de tierra impactó en la localidad de Chepes, La Rioja. El incidente causando pérdidas millonarias y afectando a cientos de personas. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Corrimiento de tierra,-31.362209,-66.542997,14/02/2002
"Crecida de aguas subterráneas causa estragos en Chamical, La Rioja",La región de Chamical en La Rioja sufrió los efectos de una intensa crecida de aguas subterráneas. El incidente generando preocupación entre autoridades provinciales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.,Crecida de aguas subterráneas,-30.336064,-66.297763,05/02/2019
"Temperaturas bajo cero deja múltiples daños en Eduardo Castex, La Pampa","Una temperaturas bajo cero de gran magnitud afectó a Eduardo Castex, La Pampa. El incidente dejando a varios sectores sin comunicación. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Temperaturas bajo cero,-35.921988,-64.296958,12/08/2005
"Situación crítica por Réplica sísmica en San Vicente, Misiones",La región de San Vicente en Misiones sufrió los efectos de una intensa réplica sísmica. El incidente generando caos en el transporte público y privado. Se ha iniciado una investigación para determinar las causas exactas del incidente.,Réplica sísmica,-26.973605,-54.452126,14/08/2016
Situación crítica por Crecida histórica en Cruz del Eje,La región de Cruz del Eje en Córdoba sufrió los efectos de una intensa crecida histórica. El incidente provocando la activación de protocolos de emergencia. Los servicios médicos están atendiendo a los afectados en hospitales locales.,Crecida histórica,-30.688201,-64.81302,09/02/2021
"Fenómeno meteorológico con granizo deja múltiples daños en San Juan, San Juan",La región de San Juan en San Juan sufrió los efectos de una intensa fenómeno meteorológico con granizo. El incidente provocando la activación de protocolos de emergencia. Se ha declarado estado de emergencia en la región para facilitar la asistencia.,Fenómeno meteorológico con granizo,-31.543295,-68.578626,05/04/2016
"Alerta por Desborde de arroyo en Trenque Lauquen, Buenos Aires","Una desborde de arroyo de gran magnitud afectó a Trenque Lauquen, Buenos Aires. El incidente generando caos en el transporte público y privado. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desborde de arroyo,-35.935984,-62.712008,18/08/2001
"Contaminación por ceniza volcánica sorprende a habitantes de Tolhuin, Tierra del Fuego","Severa contaminación por ceniza volcánica impactó en la localidad de Tolhuin, Tierra del Fuego. El incidente destruyendo viviendas y dejando a familias evacuadas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Contaminación por ceniza volcánica,-54.51225,-67.189762,11/01/2005
"Recoleta sufre las consecuencias de Tornado, CABA","Una tornado de gran magnitud afectó a Recoleta, CABA. El incidente generando caos en el transporte público y privado. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Tornado,-34.6038,-58.403618,24/04/2015
"Lluvia de ceniza volcánica sorprende a habitantes de Pico Truncado, Santa Cruz","Una lluvia de ceniza volcánica de gran magnitud afectó a Pico Truncado, Santa Cruz. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Lluvia de ceniza volcánica,-46.763337,-67.931821,04/09/2019
Fenómeno meteorológico con granizo deja múltiples daños en Centenario,La región de Centenario en Neuquén sufrió los efectos de una intensa fenómeno meteorológico con granizo. El incidente afectando gravemente la infraestructura local. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Fenómeno meteorológico con granizo,-38.801024,-68.122418,21/03/2013
Evacuaciones por Aluvión de tierra y rocas en Tolhuin,"Severa aluvión de tierra y rocas impactó en la localidad de Tolhuin, Tierra del Fuego. El incidente interrumpiendo servicios básicos en toda la zona. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Aluvión de tierra y rocas,-54.488986,-67.164757,28/04/2001
Malargüe sufre las consecuencias de Nevada histórica,"Severa nevada histórica impactó en la localidad de Malargüe, Mendoza. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Nevada histórica,-35.455973,-69.610917,11/01/2019
"Emergencia por Ráfagas de más de 100 km/h en San Martín de los Andes, Neuquén","Una ráfagas de más de 100 km/h de gran magnitud afectó a San Martín de los Andes, Neuquén. El incidente resultando en el cierre temporal de escuelas y comercios. Bomberos y personal de seguridad trabajan intensamente en la zona.",Ráfagas de más de 100 km/h,-40.134808,-71.377263,06/07/2014
"Devastador Emisión volcánica afecta a La Paz, Entre Ríos",La región de La Paz en Entre Ríos sufrió los efectos de una intensa emisión volcánica. El incidente obligando a evacuar a residentes de la zona. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Emisión volcánica,-30.742933,-59.689955,11/03/2001
"Se reporta Escasez de agua en zona de El Calafate, Santa Cruz","Una escasez de agua de gran magnitud afectó a El Calafate, Santa Cruz. El incidente provocando la activación de protocolos de emergencia. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Escasez de agua,-50.292569,-72.258995,10/07/2000
"Serio incidente: Temperaturas bajo cero en Godoy Cruz, Mendoza",La región de Godoy Cruz en Mendoza sufrió los efectos de una intensa temperaturas bajo cero. El incidente generando preocupación entre autoridades provinciales. Bomberos y personal de seguridad trabajan intensamente en la zona.,Temperaturas bajo cero,-32.938831,-68.8548,14/06/2019
Chepes afectado por Desprendimiento de ladera,La región de Chepes en La Rioja sufrió los efectos de una intensa desprendimiento de ladera. El incidente dejando varios heridos y daños materiales. La población ha sido alertada para tomar precauciones adicionales.,Desprendimiento de ladera,-31.335617,-66.551708,17/01/2006
"San Martín en alerta por Helada destructiva, Mendoza","Una helada destructiva de gran magnitud afectó a San Martín, Mendoza. El incidente afectando gravemente la infraestructura local. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Helada destructiva,-33.043645,-68.476203,20/03/2007
"Consecuencias graves tras Remolino de aire en San Telmo, CABA","Una remolino de aire de gran magnitud afectó a San Telmo, CABA. El incidente provocando pánico entre los residentes locales. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Remolino de aire,-34.586409,-58.417587,05/04/2001
La Falda en alerta por Fuego arrasador en zona boscosa,"Severa fuego arrasador en zona boscosa impactó en la localidad de La Falda, Córdoba. El incidente destruyendo viviendas y dejando a familias evacuadas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuego arrasador en zona boscosa,-31.079553,-64.454678,02/10/2009
Consecuencias graves tras Alud en Villa Ángela,La región de Villa Ángela en Chaco sufrió los efectos de una intensa alud. El incidente causando pérdidas millonarias y afectando a cientos de personas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.,Alud,-27.622025,-60.673363,10/11/2011
Congelamiento provoca emergencia en Mercedes,"Severa congelamiento impactó en la localidad de Mercedes, Corrientes. El incidente afectando el normal desarrollo de actividades en la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Congelamiento,-29.195767,-58.060075,31/08/2016
Impacto de Granizada destructiva en comunidad de San Ramón de la Nueva Orán,"Una granizada destructiva de gran magnitud afectó a San Ramón de la Nueva Orán, Salta. El incidente provocando cortes de energía y problemas en el suministro de agua. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Granizada destructiva,-23.178542,-64.352181,28/08/2010
Confirman Emergencia por altas temperaturas de gran magnitud en El Calafate,"Severa emergencia por altas temperaturas impactó en la localidad de El Calafate, Santa Cruz. El incidente generando preocupación entre autoridades provinciales. Se han habilitado refugios temporales para las familias afectadas.",Emergencia por altas temperaturas,-50.320834,-72.315011,01/12/2012
Serio incidente: Sequía extrema en Santo Tomé,"Severa sequía extrema impactó en la localidad de Santo Tomé, Corrientes. El incidente bloqueando las principales vías de acceso. Bomberos y personal de seguridad trabajan intensamente en la zona.",Sequía extrema,-28.579518,-56.036847,29/08/2021
Sequía extrema genera crisis en Justo Daract,"Una sequía extrema de gran magnitud afectó a Justo Daract, San Luis. El incidente destruyendo viviendas y dejando a familias evacuadas. La población ha sido alertada para tomar precauciones adicionales.",Sequía extrema,-33.891805,-65.160303,18/06/2017
"Inundación en zona urbana deja múltiples daños en Santiago del Estero, Santiago del Estero","Una inundación en zona urbana de gran magnitud afectó a Santiago del Estero, Santiago del Estero. El incidente provocando pánico entre los residentes locales. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Inundación en zona urbana,-27.762654,-64.245347,03/05/2019
Devastador Vendaval afecta a Cañada de Gómez,"Una vendaval de gran magnitud afectó a Cañada de Gómez, Santa Fe. El incidente obligando a evacuar a residentes de la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Vendaval,-32.781527,-61.40631,30/10/2020
Perico afectado por Derrumbe de cerro,La región de Perico en Jujuy sufrió los efectos de una intensa derrumbe de cerro. El incidente generando serios daños ambientales en la región. Se ha establecido un centro de operaciones para coordinar las ayudas.,Derrumbe de cerro,-24.408215,-65.090975,05/02/2007
"Se reporta Terremoto destructivo en zona de Chajarí, Entre Ríos","Una terremoto destructivo de gran magnitud afectó a Chajarí, Entre Ríos. El incidente provocando la activación de protocolos de emergencia. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Terremoto destructivo,-30.720095,-58.019546,15/11/2006
"Emergencia por Tormenta eléctrica en Centenario, Neuquén",La región de Centenario en Neuquén sufrió los efectos de una intensa tormenta eléctrica. El incidente dejando un rastro de destrucción importante. Técnicos trabajan para restablecer los servicios básicos lo antes posible.,Tormenta eléctrica,-38.810323,-68.173851,24/03/2020
"Emergencia por Sismo con epicentro local en 25 de Mayo, Buenos Aires","Severa sismo con epicentro local impactó en la localidad de 25 de Mayo, Buenos Aires. El incidente causando daños en cultivos y producción agrícola. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Sismo con epicentro local,-35.47496,-60.217472,02/08/2019
"Consecuencias graves tras Granizo de gran tamaño en Río Grande, Tierra del Fuego","Una granizo de gran tamaño de gran magnitud afectó a Río Grande, Tierra del Fuego. El incidente bloqueando las principales vías de acceso. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Granizo de gran tamaño,-53.826323,-67.660996,04/06/2014
Situación crítica por Fuego arrasador en zona boscosa en Viedma,"Una fuego arrasador en zona boscosa de gran magnitud afectó a Viedma, Río Negro. El incidente dejando a la población incomunicada por varias horas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fuego arrasador en zona boscosa,-40.801407,-63.003891,20/04/2006
"Serio incidente: Sismo de gran magnitud en 25 de Mayo, Buenos Aires",La región de 25 de Mayo en Buenos Aires sufrió los efectos de una intensa sismo de gran magnitud. El incidente generando preocupación entre autoridades provinciales. La población ha sido alertada para tomar precauciones adicionales.,Sismo de gran magnitud,-35.44274,-60.221529,06/02/2024
Situación crítica por Alud en Jardín América,"Una alud de gran magnitud afectó a Jardín América, Misiones. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Alud,-27.071677,-55.246071,17/11/2007
"Declaran emergencia tras Precipitación de granizo en Presidencia Roque Sáenz Peña, Chaco",La región de Presidencia Roque Sáenz Peña en Chaco sufrió los efectos de una intensa precipitación de granizo. El incidente causando daños en cultivos y producción agrícola. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.,Precipitación de granizo,-26.749412,-60.410824,30/08/2005
"Nevada fuera de temporada provoca emergencia en San Carlos de Bariloche, Río Negro","Severa nevada fuera de temporada impactó en la localidad de San Carlos de Bariloche, Río Negro. El incidente dejando a varios sectores sin comunicación. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Nevada fuera de temporada,-41.177558,-71.300688,27/03/2011
"Justo Daract sufre las consecuencias de Réplica sísmica, San Luis","Una réplica sísmica de gran magnitud afectó a Justo Daract, San Luis. El incidente con un saldo inicial de varias personas heridas. Equipos de rescate continúan buscando posibles víctimas.",Réplica sísmica,-33.840805,-65.179995,16/01/2024
Fenómeno meteorológico con granizo causa estragos en Gaiman,"Una fenómeno meteorológico con granizo de gran magnitud afectó a Gaiman, Chubut. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Fenómeno meteorológico con granizo,-43.242941,-65.454398,14/09/2009
"Autoridades responden a Ráfagas destructivas en Metán, Salta","Severa ráfagas destructivas impactó en la localidad de Metán, Salta. El incidente generando caos en el transporte público y privado. Se ha establecido un centro de operaciones para coordinar las ayudas.",Ráfagas destructivas,-25.489044,-65.012991,05/01/2008
Habitantes de Gálvez afrontan Sequía prolongada,"Una sequía prolongada de gran magnitud afectó a Gálvez, Santa Fe. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Sequía prolongada,-32.018149,-61.179482,22/09/2013
"Emergencia por Corrimiento de tierra en Tunuyán, Mendoza",La región de Tunuyán en Mendoza sufrió los efectos de una intensa corrimiento de tierra. El incidente causando daños en cultivos y producción agrícola. El municipio ha activado el protocolo de emergencias para esta situación.,Corrimiento de tierra,-33.589849,-68.996594,19/08/2024
"Preocupación por Déficit hídrico en Las Lomitas, Formosa","Severa déficit hídrico impactó en la localidad de Las Lomitas, Formosa. El incidente dejando un rastro de destrucción importante. La población ha sido alertada para tomar precauciones adicionales.",Déficit hídrico,-24.667471,-60.607126,15/11/2001
"Confirman Tormenta de viento de gran magnitud en San Nicolás, Buenos Aires","Una tormenta de viento de gran magnitud afectó a San Nicolás, Buenos Aires. El incidente bloqueando las principales vías de acceso. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Tormenta de viento,-33.370238,-60.232157,29/05/2000
Pico Truncado en alerta por Nevada histórica,"Severa nevada histórica impactó en la localidad de Pico Truncado, Santa Cruz. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Nevada histórica,-46.768576,-67.956136,13/12/2014
Temperaturas bajo cero provoca emergencia en Neuquén,"Severa temperaturas bajo cero impactó en la localidad de Neuquén, Neuquén. El incidente afectando el normal desarrollo de actividades en la zona. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Temperaturas bajo cero,-38.960061,-68.103359,01/04/2023
"Declaran emergencia tras Fenómeno de viento rotativo en Lobos, Buenos Aires","Una fenómeno de viento rotativo de gran magnitud afectó a Lobos, Buenos Aires. El incidente bloqueando las principales vías de acceso. La población ha sido alertada para tomar precauciones adicionales.",Fenómeno de viento rotativo,-35.170703,-59.106471,21/05/2002
Preocupación por Fuego en área protegida en Barranqueras,La región de Barranqueras en Chaco sufrió los efectos de una intensa fuego en área protegida. El incidente destruyendo viviendas y dejando a familias evacuadas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.,Fuego en área protegida,-27.437027,-58.916055,18/01/2018
"Avalancha de lodo causa estragos en Cañada de Gómez, Santa Fe",La región de Cañada de Gómez en Santa Fe sufrió los efectos de una intensa avalancha de lodo. El incidente afectando el normal desarrollo de actividades en la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Avalancha de lodo,-32.795553,-61.37885,20/03/2018
"Habitantes de Bell Ville afrontan Emergencia por sequía, Córdoba","Una emergencia por sequía de gran magnitud afectó a Bell Ville, Córdoba. El incidente dejando a la población incomunicada por varias horas. Se han habilitado refugios temporales para las familias afectadas.",Emergencia por sequía,-32.636616,-62.652473,26/02/2013
"Declaran emergencia tras Ráfagas destructivas en Concordia, Entre Ríos",La región de Concordia en Entre Ríos sufrió los efectos de una intensa ráfagas destructivas. El incidente provocando cortes de energía y problemas en el suministro de agua. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Ráfagas destructivas,-31.39675,-57.993144,09/06/2016
Se reporta Récord histórico de calor en zona de Villa María,La región de Villa María en Córdoba sufrió los efectos de una intensa récord histórico de calor. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Récord histórico de calor,-32.45111,-63.287258,21/02/2007
"Nevada extrema causa estragos en Tandil, Buenos Aires",La región de Tandil en Buenos Aires sufrió los efectos de una intensa nevada extrema. El incidente bloqueando las principales vías de acceso. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Nevada extrema,-37.353746,-59.120739,03/02/2017
Se reporta Frío extremo en zona de Ushuaia,"Una frío extremo de gran magnitud afectó a Ushuaia, Tierra del Fuego. El incidente causando daños en cultivos y producción agrícola. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Frío extremo,-54.776357,-68.286855,02/02/2024
Se reporta Helada destructiva en zona de Villaguay,"Severa helada destructiva impactó en la localidad de Villaguay, Entre Ríos. El incidente interrumpiendo servicios básicos en toda la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Helada destructiva,-31.912823,-58.983728,03/12/2014
Situación crítica por Tormenta de nieve en Pergamino,La región de Pergamino en Buenos Aires sufrió los efectos de una intensa tormenta de nieve. El incidente resultando en el cierre temporal de escuelas y comercios. Especialistas evalúan los daños para iniciar las reparaciones necesarias.,Tormenta de nieve,-33.846796,-60.619289,20/05/2020
"Equipos de emergencia atienden Tormenta eléctrica en Cañada de Gómez, Santa Fe",La región de Cañada de Gómez en Santa Fe sufrió los efectos de una intensa tormenta eléctrica. El incidente afectando el normal desarrollo de actividades en la zona. Se han habilitado refugios temporales para las familias afectadas.,Tormenta eléctrica,-32.828854,-61.355862,14/07/2002
Anegamiento masivo genera crisis en Chivilcoy,"Una anegamiento masivo de gran magnitud afectó a Chivilcoy, Buenos Aires. El incidente bloqueando las principales vías de acceso. La población ha sido alertada para tomar precauciones adicionales.",Anegamiento masivo,-34.91453,-59.992052,08/03/2018
Habitantes de Mar del Plata afrontan Desborde de río,"Una desborde de río de gran magnitud afectó a Mar del Plata, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Equipos de rescate continúan buscando posibles víctimas.",Desborde de río,-38.011525,-57.511585,30/10/2016
"Consecuencias graves tras Déficit hídrico en Tafí Viejo, Tucumán",La región de Tafí Viejo en Tucumán sufrió los efectos de una intensa déficit hídrico. El incidente afectando el normal desarrollo de actividades en la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Déficit hídrico,-26.726257,-65.230123,26/05/2022
Devastador Déficit hídrico afecta a Santa Fe,"Severa déficit hídrico impactó en la localidad de Santa Fe, Santa Fe. El incidente afectando el normal desarrollo de actividades en la zona. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Déficit hídrico,-31.650357,-60.683895,23/05/2012
Evacuaciones por Sequía con pérdidas agrícolas en Concepción del Uruguay,"Severa sequía con pérdidas agrícolas impactó en la localidad de Concepción del Uruguay, Entre Ríos. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Sequía con pérdidas agrícolas,-32.491446,-58.269592,02/01/2021
Devastador Tornado afecta a Allen,"Severa tornado impactó en la localidad de Allen, Río Negro. El incidente dejando varios heridos y daños materiales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Tornado,-38.984219,-67.831513,17/01/2022
Consecuencias graves tras Anegamiento masivo en Puerto San Julián,"Severa anegamiento masivo impactó en la localidad de Puerto San Julián, Santa Cruz. El incidente obligando a evacuar a residentes de la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Anegamiento masivo,-49.314121,-67.699131,07/11/2023
Habitantes de El Colorado afrontan Sequía extrema,La región de El Colorado en Formosa sufrió los efectos de una intensa sequía extrema. El incidente interrumpiendo servicios básicos en toda la zona. Se han habilitado refugios temporales para las familias afectadas.,Sequía extrema,-26.319766,-59.355085,04/06/2016
Habitantes de Puerto Deseado afrontan Réplica sísmica,"Una réplica sísmica de gran magnitud afectó a Puerto Deseado, Santa Cruz. El incidente interrumpiendo servicios básicos en toda la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Réplica sísmica,-47.753784,-65.877105,18/03/2020
Alerta por Granizo de gran tamaño en Mendoza,La región de Mendoza en Mendoza sufrió los efectos de una intensa granizo de gran tamaño. El incidente provocando la activación de protocolos de emergencia. El municipio ha activado el protocolo de emergencias para esta situación.,Granizo de gran tamaño,-32.902648,-68.83638,29/10/2018
Preocupación por Avalancha de lodo en Presidencia Roque Sáenz Peña,"Severa avalancha de lodo impactó en la localidad de Presidencia Roque Sáenz Peña, Chaco. El incidente generando caos en el transporte público y privado. El municipio ha activado el protocolo de emergencias para esta situación.",Avalancha de lodo,-26.79884,-60.432891,17/04/2024
Evacuaciones por Vendaval en Plottier,"Severa vendaval impactó en la localidad de Plottier, Neuquén. El incidente interrumpiendo servicios básicos en toda la zona. La población ha sido alertada para tomar precauciones adicionales.",Vendaval,-38.954786,-68.257593,21/04/2022
Déficit hídrico deja múltiples daños en Mendoza,"Una déficit hídrico de gran magnitud afectó a Mendoza, Mendoza. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Déficit hídrico,-32.85479,-68.806332,18/12/2023
Serio incidente: Emisión volcánica en Comodoro Rivadavia,"Una emisión volcánica de gran magnitud afectó a Comodoro Rivadavia, Chubut. El incidente destruyendo viviendas y dejando a familias evacuadas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Emisión volcánica,-45.860045,-67.53891,19/02/2002
"Devastador Evento sísmico afecta a Maipú, Mendoza","Una evento sísmico de gran magnitud afectó a Maipú, Mendoza. El incidente dejando varios heridos y daños materiales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Evento sísmico,-32.937459,-68.773699,12/09/2019
"Déficit hídrico deja múltiples daños en Godoy Cruz, Mendoza","Severa déficit hídrico impactó en la localidad de Godoy Cruz, Mendoza. El incidente provocando pánico entre los residentes locales. El municipio ha activado el protocolo de emergencias para esta situación.",Déficit hídrico,-32.943094,-68.88545,20/05/2017
"Tormenta con fuertes vientos afecta a Córdoba, Córdoba",La región de Córdoba en Córdoba sufrió los efectos de una intensa tormenta con fuertes vientos. El incidente con un saldo inicial de varias personas heridas. Autoridades nacionales se han puesto a disposición para brindar asistencia.,Tormenta con fuertes vientos,-31.411176,-64.171667,13/04/2001
Precipitación de nieve genera crisis en San Martín,La región de San Martín en Mendoza sufrió los efectos de una intensa precipitación de nieve. El incidente generando preocupación entre autoridades provinciales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.,Precipitación de nieve,-33.060134,-68.463544,30/05/2004
Derrumbe de cerro afecta a La Plata,La región de La Plata en Buenos Aires sufrió los efectos de una intensa derrumbe de cerro. El incidente generando caos en el transporte público y privado. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.,Derrumbe de cerro,-34.920847,-57.999411,27/12/2012
Habitantes de Justo Daract afrontan Embudo de viento,"Severa embudo de viento impactó en la localidad de Justo Daract, San Luis. El incidente con un saldo inicial de varias personas heridas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Embudo de viento,-33.899102,-65.220506,11/08/2000
"Alerta por Sismo con epicentro local en San Fernando del Valle de Catamarca, Catamarca","Una sismo con epicentro local de gran magnitud afectó a San Fernando del Valle de Catamarca, Catamarca. El incidente interrumpiendo servicios básicos en toda la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Sismo con epicentro local,-28.466214,-65.78012,01/07/2011
